accountant_id,subservice_name,service_name,combo
5229,Business process improvements,Business Consulting & Support,5229 - Business Consulting & Support
5229,Business risk assessment,Business Consulting & Support,5229 - Business Consulting & Support
5229,Business start-up and company formation,Formation / M&A,5229 - Formation / M&A
5229,Company secretarial service,Bookkeeping & Admin,5229 - Bookkeeping & Admin
5229,Cost systems and control,Bookkeeping & Admin,5229 - Bookkeeping & Admin
5229,Export finance planning and tax,Tax Services,5229 - Tax Services
5229,Information Technology,Bookkeeping & Admin,5229 - Bookkeeping & Admin
5229,Limited company accounts,Annual Accounts,5229 - Annual Accounts
5229,Management accounting consultancy,Business Consulting & Support,5229 - Business Consulting & Support
5229,Management advice to business,Business Consulting & Support,5229 - Business Consulting & Support
5229,Management consultancy,Business Consulting & Support,5229 - Business Consulting & Support
5229,Partnership / sole trader accounts,Annual Accounts,5229 - Annual Accounts
5229,Share valuations,Financing Support,5229 - Financing Support
5229,Small scale equity issues,Financing Support,5229 - Financing Support
5229,Tax and NI investigations,Tax Services,5229 - Tax Services
5229,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5229 - Tax Services
5232,Benchmarking,Business Consulting & Support,5232 - Business Consulting & Support
5232,Business plans,Business Consulting & Support,5232 - Business Consulting & Support
5232,Business process improvements,Business Consulting & Support,5232 - Business Consulting & Support
5232,Company secretarial service,Bookkeeping & Admin,5232 - Bookkeeping & Admin
5232,Corporate finance,Financing Support,5232 - Financing Support
5232,Limited company accounts,Annual Accounts,5232 - Annual Accounts
5232,Management accounting consultancy,Business Consulting & Support,5232 - Business Consulting & Support
5232,Management advice to business,Business Consulting & Support,5232 - Business Consulting & Support
5232,Management consultancy,Business Consulting & Support,5232 - Business Consulting & Support
5232,Partnership / sole trader accounts,Annual Accounts,5232 - Annual Accounts
5232,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5232 - Tax Services
5233,Business start-up and company formation,Formation / M&A,5233 - Formation / M&A
5233,Company secretarial service,Bookkeeping & Admin,5233 - Bookkeeping & Admin
5233,Cost systems and control,Bookkeeping & Admin,5233 - Bookkeeping & Admin
5233,Information Technology,Bookkeeping & Admin,5233 - Bookkeeping & Admin
5233,Limited company accounts,Annual Accounts,5233 - Annual Accounts
5233,Management accounting consultancy,Business Consulting & Support,5233 - Business Consulting & Support
5233,Management advice to business,Business Consulting & Support,5233 - Business Consulting & Support
5233,Management consultancy,Business Consulting & Support,5233 - Business Consulting & Support
5233,Partnership / sole trader accounts,Annual Accounts,5233 - Annual Accounts
5233,Tax and NI investigations,Tax Services,5233 - Tax Services
5233,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5233 - Tax Services
5234,Limited company accounts,Annual Accounts,5234 - Annual Accounts
5234,Partnership / sole trader accounts,Annual Accounts,5234 - Annual Accounts
5234,Tax and NI investigations,Tax Services,5234 - Tax Services
5234,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5234 - Tax Services
5235,Limited company accounts,Annual Accounts,5235 - Annual Accounts
5235,Management advice to business,Business Consulting & Support,5235 - Business Consulting & Support
5235,Partnership / sole trader accounts,Annual Accounts,5235 - Annual Accounts
5235,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5235 - Tax Services
5239,Business start-up and company formation,Formation / M&A,5239 - Formation / M&A
5239,Company secretarial service,Bookkeeping & Admin,5239 - Bookkeeping & Admin
5239,Data processing services,Bookkeeping & Admin,5239 - Bookkeeping & Admin
5239,Limited company accounts,Annual Accounts,5239 - Annual Accounts
5239,Partnership / sole trader accounts,Annual Accounts,5239 - Annual Accounts
5239,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5239 - Tax Services
5240,Business start-up and company formation,Formation / M&A,5240 - Formation / M&A
5240,Company secretarial service,Bookkeeping & Admin,5240 - Bookkeeping & Admin
5240,Data processing services,Bookkeeping & Admin,5240 - Bookkeeping & Admin
5240,Limited company accounts,Annual Accounts,5240 - Annual Accounts
5240,Partnership / sole trader accounts,Annual Accounts,5240 - Annual Accounts
5240,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5240 - Tax Services
5242,Business plans,Business Consulting & Support,5242 - Business Consulting & Support
5242,Business process improvements,Business Consulting & Support,5242 - Business Consulting & Support
5242,Business start-up and company formation,Formation / M&A,5242 - Formation / M&A
5242,Company secretarial service,Bookkeeping & Admin,5242 - Bookkeeping & Admin
5242,Cost systems and control,Bookkeeping & Admin,5242 - Bookkeeping & Admin
5242,Expert witness,Other,5242 - Other
5242,"Grants and Finance (EU,government)",Financing Support,5242 - Financing Support
5242,Information Technology,Bookkeeping & Admin,5242 - Bookkeeping & Admin
5242,Internal audit and systems security,Audit Services,5242 - Audit Services
5242,Limited company accounts,Annual Accounts,5242 - Annual Accounts
5242,Management accounting consultancy,Business Consulting & Support,5242 - Business Consulting & Support
5242,Management advice to business,Business Consulting & Support,5242 - Business Consulting & Support
5242,Management consultancy,Business Consulting & Support,5242 - Business Consulting & Support
5242,Partnership / sole trader accounts,Annual Accounts,5242 - Annual Accounts
5242,Share valuations,Financing Support,5242 - Financing Support
5242,Tax and NI investigations,Tax Services,5242 - Tax Services
5242,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5242 - Tax Services
5244,Business plans,Business Consulting & Support,5244 - Business Consulting & Support
5244,Business start-up and company formation,Formation / M&A,5244 - Formation / M&A
5244,Company secretarial service,Bookkeeping & Admin,5244 - Bookkeeping & Admin
5244,Information Technology,Bookkeeping & Admin,5244 - Bookkeeping & Admin
5244,Limited company accounts,Annual Accounts,5244 - Annual Accounts
5244,Management accounting consultancy,Business Consulting & Support,5244 - Business Consulting & Support
5244,Management advice to business,Business Consulting & Support,5244 - Business Consulting & Support
5244,Partnership / sole trader accounts,Annual Accounts,5244 - Annual Accounts
5244,Tax and NI investigations,Tax Services,5244 - Tax Services
5244,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5244 - Tax Services
5245,Business plans,Business Consulting & Support,5245 - Business Consulting & Support
5245,Business start-up and company formation,Formation / M&A,5245 - Formation / M&A
5245,Limited company accounts,Annual Accounts,5245 - Annual Accounts
5245,Management advice to business,Business Consulting & Support,5245 - Business Consulting & Support
5245,Partnership / sole trader accounts,Annual Accounts,5245 - Annual Accounts
5245,Share valuations,Financing Support,5245 - Financing Support
5245,Tax and NI investigations,Tax Services,5245 - Tax Services
5245,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5245 - Tax Services
5246,Limited company accounts,Annual Accounts,5246 - Annual Accounts
5246,Partnership / sole trader accounts,Annual Accounts,5246 - Annual Accounts
5246,Tax and NI investigations,Tax Services,5246 - Tax Services
5246,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5246 - Tax Services
5247,Limited company accounts,Annual Accounts,5247 - Annual Accounts
5247,Partnership / sole trader accounts,Annual Accounts,5247 - Annual Accounts
5247,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5247 - Tax Services
5252,Business start-up and company formation,Formation / M&A,5252 - Formation / M&A
5252,Cost systems and control,Bookkeeping & Admin,5252 - Bookkeeping & Admin
5252,Data processing services,Bookkeeping & Admin,5252 - Bookkeeping & Admin
5252,"Grants and Finance (EU,government)",Financing Support,5252 - Financing Support
5252,Limited company accounts,Annual Accounts,5252 - Annual Accounts
5252,Management accounting consultancy,Business Consulting & Support,5252 - Business Consulting & Support
5252,Management advice to business,Business Consulting & Support,5252 - Business Consulting & Support
5252,Management consultancy,Business Consulting & Support,5252 - Business Consulting & Support
5252,Partnership / sole trader accounts,Annual Accounts,5252 - Annual Accounts
5252,Tax and NI investigations,Tax Services,5252 - Tax Services
5252,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5252 - Tax Services
5254,Bank loans and overdrafts (inc SFLGS),Financing Support,5254 - Financing Support
5254,Business plans (external and internal),Business Consulting & Support,5254 - Business Consulting & Support
5254,Business plans,Business Consulting & Support,5254 - Business Consulting & Support
5254,Business process improvements,Business Consulting & Support,5254 - Business Consulting & Support
5254,Business risk assessment,Business Consulting & Support,5254 - Business Consulting & Support
5254,Business start-up and company formation,Formation / M&A,5254 - Formation / M&A
5254,Company secretarial service,Bookkeeping & Admin,5254 - Bookkeeping & Admin
5254,Cost systems and control,Bookkeeping & Admin,5254 - Bookkeeping & Admin
5254,Data processing services,Bookkeeping & Admin,5254 - Bookkeeping & Admin
5254,Debt counselling,Financing Support,5254 - Financing Support
5254,Feasibility studies,Other,5254 - Other
5254,Information Technology,Bookkeeping & Admin,5254 - Bookkeeping & Admin
5254,Internal audit and systems security,Audit Services,5254 - Audit Services
5254,Limited company accounts,Annual Accounts,5254 - Annual Accounts
5254,Management accounting consultancy,Business Consulting & Support,5254 - Business Consulting & Support
5254,Management advice to business,Business Consulting & Support,5254 - Business Consulting & Support
5254,Management consultancy,Business Consulting & Support,5254 - Business Consulting & Support
5254,Partnership / sole trader accounts,Annual Accounts,5254 - Annual Accounts
5254,Share valuations,Financing Support,5254 - Financing Support
5254,Small scale equity issues,Financing Support,5254 - Financing Support
5254,Start-up Finance(inc using own funds),Financing Support,5254 - Financing Support
5254,Tax and NI investigations,Tax Services,5254 - Tax Services
5254,"Tax(CGT, Corporate, IHT, Personal and VAT)",Tax Services,5254 - Tax Services
5254,Trusteeship / Trust Administration,Other,5254 - Other
